Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
CRR280733	0.131	0.00343	616.2	0.961	0.658	36.8	68.5	19974.0	614.0	0.330	0.0392	4.23	6.10	1.84
CRR280734	0.131	0.00293	537.9	0.957	0.648	32.5	58.5	19986.0	536.0	0.317	0.0426	4.07	5.87	1.77
CRR280735	0.130	0.00544	692.6	0.970	0.717	54.1	108.7	19969.0	691.0	0.244	0.0297	4.69	6.76	2.04
CRR280736	0.204	0.00243	469.6	0.918	0.632	20.0	48.5	19962.0	465.0	0.285	0.0817	3.88	5.60	1.69
CRR280737	0.104	0.00718	751.1	0.979	0.750	76.8	143.5	19984.0	750.0	0.249	0.0207	4.97	7.16	2.16
CRR280738	0.104	0.00415	563.8	0.968	0.698	45.0	82.8	19982.0	562.0	0.265	0.0321	4.42	6.37	1.92
CRR280739	0.589	0.000587	644.1	0.645	0.381	4.05	11.7	19965.0	636.0	0.485	0.355	2.46	3.55	1.07
CRR280740	0.170	0.00336	673.4	0.947	0.647	30.3	67.0	19929.0	667.0	0.406	0.0528	4.20	6.07	1.83
CRR280741	0.149	0.00392	591.6	0.961	0.683	39.9	78.2	19966.0	589.0	0.319	0.0389	4.36	6.29	1.89
CRR280742	0.190	0.00238	463.3	0.934	0.630	23.0	47.5	19970.0	460.0	0.312	0.0657	3.86	5.57	1.68
CRR280743	0.162	0.00388	613.0	0.954	0.678	35.8	77.6	19975.0	610.0	0.311	0.0455	4.35	6.28	1.89
CRR280744	0.187	0.00257	378.9	0.944	0.665	27.1	51.2	19962.0	372.0	0.319	0.0556	3.94	5.68	1.71
CRR280745	0.115	0.00664	757.4	0.976	0.738	66.6	132.5	19949.0	753.0	0.292	0.0244	4.89	7.05	2.12
CRR280746	0.113	0.00389	474.8	0.967	0.708	44.0	77.5	19951.0	467.0	0.321	0.033	4.35	6.28	1.89
CRR280747	0.122	0.00488	799.5	0.964	0.686	44.6	97.5	19971.0	793.0	0.369	0.0361	4.58	6.61	1.99
CRR280748	0.159	0.00303	516.6	0.952	0.657	30.8	60.5	19982.0	514.0	0.311	0.0483	4.10	5.92	1.78
CRR280749	0.147	0.00222	337.1	0.951	0.652	27.1	44.3	19965.0	334.0	0.275	0.0494	3.79	5.47	1.65
CRR280750	0.183	0.00167	447.3	0.921	0.576	17.5	33.5	19981.0	445.0	0.345	0.0793	3.51	5.06	1.52
CRR280751	0.145	0.00471	633.2	0.966	0.705	47.2	93.9	19952.0	628.0	0.316	0.0341	4.54	6.55	1.97
CRR280752	0.208	0.00263	522.5	0.936	0.633	24.4	52.5	19967.0	520.0	0.315	0.0644	3.96	5.71	1.72
CRR280753	0.126	0.00489	625.3	0.969	0.712	50.4	97.6	19976.0	624.0	0.256	0.0308	4.58	6.61	1.99
CRR280754	0.110	0.00624	773.8	0.976	0.726	63.9	124.5	19942.0	771.0	0.289	0.0244	4.82	6.96	2.10
CRR280755	0.149	0.00432	815.3	0.957	0.665	37.5	86.2	19942.0	810.0	0.363	0.0427	4.46	6.43	1.94
CRR280756	0.0912	0.00299	448.7	0.965	0.671	37.3	59.6	19955.0	441.0	0.337	0.0348	4.09	5.90	1.78
CRR280757	0.0799	0.00813	822.7	0.984	0.758	94.2	162.4	19975.0	821.0	0.293	0.0158	5.09	7.34	2.21
CRR280758	0.136	0.00503	690.1	0.967	0.706	49.7	100.4	19959.0	685.0	0.341	0.0326	4.61	6.65	2.00
CRR280759	0.166	0.00407	689.4	0.955	0.673	35.9	81.3	19976.0	688.0	0.269	0.0454	4.40	6.35	1.91
CRR280760	0.174	0.00261	488.5	0.946	0.639	26.9	52.1	19961.0	486.0	0.298	0.0542	3.95	5.70	1.72
CRR280761	0.106	0.00648	830.5	0.975	0.724	64.4	129.2	19949.0	824.0	0.336	0.0247	4.86	7.01	2.11
CRR280762	0.184	0.00307	620.8	0.942	0.640	27.2	61.4	19985.0	619.0	0.308	0.0578	4.12	5.94	1.79
CRR280763	0.103	0.00605	757.4	0.973	0.724	58.7	121.0	19983.0	756.0	0.250	0.0271	4.80	6.92	2.08
CRR280764	0.103	0.00471	621.9	0.972	0.707	52.0	94.0	19963.0	618.0	0.305	0.0277	4.54	6.55	1.97
CRR280765	0.0635	0.00571	573.1	0.983	0.747	75.8	114.1	19970.0	567.0	0.320	0.0171	4.74	6.83	2.06
CRR280766	0.187	0.00237	356.7	0.941	0.659	25.4	47.4	19971.0	348.0	0.287	0.0586	3.86	5.57	1.68
CRR280767	0.0949	0.00725	717.0	0.979	0.757	75.5	144.9	19967.0	714.0	0.248	0.0214	4.98	7.18	2.16
CRR280768	0.067	0.00667	784.3	0.981	0.735	76.1	133.1	19960.0	777.0	0.344	0.0187	4.89	7.06	2.12
CRR280769	0.096	0.00531	639.4	0.976	0.722	60.4	106.1	19995.0	638.0	0.260	0.0238	4.66	6.73	2.03
CRR280770	0.0533	0.00672	646.4	0.985	0.758	86.4	134.4	19998.0	645.0	0.248	0.0154	4.90	7.07	2.13
CRR280771	0.102	0.00573	642.4	0.977	0.734	65.1	114.5	19971.0	636.0	0.327	0.0228	4.74	6.84	2.06
CRR280772	0.109	0.00464	634.6	0.967	0.702	47.1	92.5	19948.0	632.0	0.286	0.0325	4.53	6.53	1.97
CRR280773	0.120	0.00373	576.6	0.962	0.678	38.7	74.4	19969.0	575.0	0.264	0.0379	4.31	6.22	1.87
CRR280774	0.221	0.00392	674.0	0.941	0.670	31.1	78.4	19985.0	673.0	0.255	0.059	4.36	6.29	1.89
CRR280775	0.0803	0.00735	762.7	0.982	0.753	83.2	146.8	19962.0	757.0	0.306	0.0177	4.99	7.20	2.17
CRR280776	0.107	0.00358	472.5	0.968	0.694	42.5	71.4	19955.0	468.0	0.288	0.0321	4.27	6.16	1.85
CRR280777	0.0797	0.00462	573.2	0.974	0.713	53.1	92.3	19966.0	571.0	0.280	0.0261	4.52	6.53	1.97
CRR280778	0.0408	0.00862	815.3	0.988	0.768	111.4	172.0	19962.0	811.0	0.324	0.0117	5.15	7.43	2.24
CRR280779	0.149	0.005	674.1	0.962	0.707	45.0	100.0	20001.0	672.0	0.275	0.038	4.61	6.64	2.00
CRR280780	0.0654	0.00619	712.4	0.981	0.735	73.6	123.5	19958.0	704.0	0.366	0.0188	4.82	6.95	2.09
CRR280781	0.0575	0.0059	744.3	0.980	0.722	68.2	117.6	19926.0	740.0	0.297	0.02	4.77	6.88	2.07
ERR1958188	0.0718	0.00245	215.5	0.967	0.772	36.9	49.1	20007.0	155.0	0.141	0.0326	3.89	5.62	1.69
ERR1958189	0.0801	0.00285	195.5	0.974	0.802	45.0	57.1	20000.0	155.0	0.115	0.0263	4.04	5.83	1.76
ERR1958190	0.130	0.00229	170.0	0.959	0.751	31.9	45.8	19993.0	163.0	0.183	0.041	3.83	5.52	1.66
ERR1958191	0.130	0.00176	125.0	0.951	0.737	25.3	35.1	19997.0	125.0	0	0.0491	3.56	5.13	1.55
ERR1958192	0.107	0.00227	141.5	0.962	0.776	33.2	45.5	20003.0	137.0	0.109	0.0383	3.82	5.51	1.66
ERR1958193	0.0494	0.00302	165.3	0.976	0.806	47.7	60.4	19993.0	162.0	0.110	0.0245	4.10	5.92	1.78
ERR1958194	0.101	0.00244	130.4	0.966	0.799	36.6	48.8	20001.0	130.0	0.0611	0.0342	3.89	5.61	1.69
ERR1958195	0.0843	0.00254	218.0	0.969	0.788	38.9	50.8	20001.0	146.0	0.163	0.0314	3.93	5.67	1.71
ERR1958196	0.110	0.00234	159.9	0.960	0.762	32.9	46.8	19995.0	156.0	0.178	0.0397	3.85	5.55	1.67
ERR1958197	0.124	0.00173	134.6	0.951	0.725	25.1	34.6	20004.0	133.0	0.119	0.0487	3.54	5.11	1.54
ERR1958198	0.141	0.00199	157.6	0.955	0.732	28.1	39.8	20014.0	154.0	0.155	0.0455	3.68	5.32	1.60
ERR1958199	0.0992	0.00232	162.0	0.963	0.762	33.9	46.5	20018.0	154.0	0.181	0.037	3.84	5.54	1.67
ERR1958200	0.0889	0.00251	574.5	0.968	0.778	38.3	50.3	20008.0	154.0	0.187	0.0315	3.92	5.65	1.70
ERR1958201	0.0766	0.0025	193.0	0.970	0.788	39.4	50.1	20002.0	143.0	0.139	0.0297	3.91	5.65	1.70
ERR1958202	0.106	0.00197	153.9	0.957	0.734	28.8	39.3	20000.0	149.0	0.167	0.043	3.67	5.30	1.59
ERR1958203	0.122	0.00185	148.4	0.954	0.727	26.9	36.9	20000.0	143.0	0.160	0.0457	3.61	5.21	1.57
ERR1958204	0.0817	0.00246	150.5	0.969	0.780	38.3	49.2	20004.0	148.0	0.121	0.0308	3.90	5.62	1.69
ERR1958205	0.129	0.00197	215.1	0.954	0.734	27.8	39.5	20010.0	149.0	0.153	0.0459	3.68	5.30	1.60
ERR1958206	0.0963	0.00225	158.1	0.964	0.758	33.9	45.0	20016.0	152.0	0.183	0.0357	3.81	5.49	1.65
ERR1958207	0.0715	0.0025	148.0	0.970	0.791	39.0	49.9	20005.0	140.0	0.142	0.0301	3.91	5.64	1.70
ERR1958208	0.0802	0.00234	132.9	0.967	0.790	36.2	46.8	19990.0	130.0	0.0916	0.033	3.85	5.55	1.67
ERR1958209	0.121	0.00189	139.4	0.956	0.747	27.7	37.9	20003.0	130.0	0.0992	0.0444	3.64	5.24	1.58
ERR1958210	0.157	0.00182	135.9	0.947	0.733	24.9	36.5	20006.0	135.0	0.0882	0.0529	3.60	5.19	1.56
ERR1958211	0.158	0.0021	145.0	0.954	0.771	29.2	42.0	19983.0	127.0	0.0469	0.0458	3.74	5.39	1.62
ERR1958212	0.144	0.00228	145.1	0.958	0.769	31.9	45.7	20002.0	144.0	0.110	0.0416	3.82	5.51	1.66
ERR1958213	0.0942	0.00265	154.5	0.969	0.801	40.3	53.0	19997.0	142.0	0.105	0.0307	3.97	5.73	1.72
ERR1958214	0.0867	0.00258	155.3	0.969	0.784	39.5	51.6	19994.0	153.0	0.110	0.0307	3.94	5.69	1.71
ERR1958215	0.136	0.00165	129.9	0.947	0.719	23.5	33.0	20004.0	129.0	0.0846	0.0532	3.50	5.04	1.52
ERR1958216	0.125	0.00186	155.0	0.952	0.735	26.4	37.2	19999.0	137.0	0.130	0.0478	3.62	5.22	1.57
ERR1958217	0.0952	0.00257	159.3	0.968	0.788	38.6	51.4	19991.0	148.0	0.128	0.0317	3.94	5.68	1.71
ERR1958218	0.0739	0.00259	134.7	0.971	0.806	40.4	51.8	19996.0	134.0	0.0593	0.0294	3.95	5.70	1.71
ERR1958219	0.085	0.00245	152.0	0.967	0.779	37.2	48.9	20009.0	148.0	0.114	0.0326	3.89	5.61	1.69
ERR1958220	0.0791	0.00225	140.0	0.966	0.780	35.1	45.0	19992.0	132.0	0.120	0.0337	3.81	5.49	1.65
ERR1958221	0.130	0.00171	139.5	0.949	0.718	24.2	34.1	20002.0	137.0	0.130	0.0513	3.53	5.09	1.53
ERR1958222	0.122	0.00217	150.5	0.959	0.753	31.1	43.4	20001.0	149.0	0.140	0.0411	3.77	5.44	1.64
ERR1958223	0.0798	0.00247	172.5	0.970	0.781	38.7	49.5	20008.0	148.0	0.141	0.0305	3.90	5.63	1.69
ERR1958224	0.0873	0.00273	186.0	0.971	0.781	41.9	54.6	20005.0	168.0	0.178	0.0287	4.00	5.77	1.74
ERR1958225	0.0709	0.00278	149.7	0.973	0.803	43.5	55.7	19999.0	149.0	0.0467	0.0272	4.02	5.80	1.75
ERR1958226	0.0793	0.00272	184.9	0.970	0.775	40.4	54.4	20003.0	174.0	0.160	0.0304	4.00	5.76	1.74
ERR1958227	0.121	0.00193	148.4	0.953	0.732	27.2	38.7	20000.0	148.0	0.0805	0.0465	3.66	5.27	1.59
ERR1958228	0.101	0.00207	154.3	0.961	0.740	30.8	41.4	20009.0	153.0	0.156	0.0394	3.72	5.37	1.62
ERR1958229	0.0907	0.00238	172.0	0.966	0.758	35.6	47.7	20012.0	164.0	0.145	0.034	3.87	5.58	1.68
ERR1958230	0.095	0.00258	142.1	0.968	0.799	38.9	51.7	19994.0	139.0	0.0357	0.0315	3.94	5.69	1.71
ERR1958231	0.0668	0.00248	264.5	0.968	0.777	37.5	49.6	20006.0	152.0	0.098	0.0319	3.90	5.63	1.70
ERR1958232	0.129	0.00241	217.4	0.962	0.760	34.0	48.2	20004.0	164.0	0.188	0.0384	3.88	5.59	1.68
ERR1958233	0.0981	0.00241	144.0	0.965	0.782	35.7	48.2	20008.0	142.0	0.0839	0.0347	3.88	5.59	1.68
ERR1958234	0.086	0.0022	152.5	0.963	0.766	32.9	44.0	20002.0	140.0	0.142	0.0368	3.78	5.46	1.64
ERR1958235	0.0789	0.0025	229.1	0.967	0.780	37.6	50.1	20007.0	151.0	0.164	0.0325	3.91	5.65	1.70
ERR1958236	0.0818	0.00246	139.0	0.969	0.789	38.3	49.1	20005.0	139.0	0.0786	0.0308	3.89	5.62	1.69
ERR1958237	0.0782	0.00231	239.1	0.967	0.767	35.7	46.2	20009.0	148.0	0.181	0.0331	3.83	5.53	1.66
ERR1958238	0.128	0.00197	130.9	0.956	0.757	28.6	39.4	19993.0	128.0	0.093	0.0441	3.67	5.30	1.60
ERR1958239	0.125	0.00173	129.5	0.950	0.729	24.9	34.5	19994.0	129.0	0.0769	0.0495	3.54	5.11	1.54
ERR1958240	0.0927	0.00195	152.9	0.960	0.732	29.4	38.9	20000.0	149.0	0.167	0.0405	3.66	5.28	1.59
ERR1958241	0.148	0.00193	134.5	0.953	0.745	27.5	38.5	19994.0	134.0	0.0741	0.0466	3.65	5.27	1.59
ERR1958242	0.111	0.00234	219.1	0.963	0.765	34.0	46.9	20006.0	153.0	0.149	0.0371	3.85	5.55	1.67
ERR1958243	0.109	0.00221	176.1	0.962	0.752	32.4	44.3	20002.0	155.0	0.167	0.0383	3.79	5.47	1.65
ERR1958244	0.0675	0.0024	136.7	0.969	0.788	37.7	47.9	19992.0	136.0	0.0803	0.0312	3.87	5.58	1.68
ERR1958245	0.0882	0.00196	125.7	0.962	0.760	30.7	39.1	19995.0	125.0	0.0635	0.0379	3.67	5.29	1.59
ERR1958246	0.0743	0.00252	146.0	0.969	0.789	38.7	50.4	20003.0	144.0	0.110	0.0313	3.92	5.66	1.70
ERR1958247	0.122	0.00215	143.8	0.959	0.758	30.8	43.0	20005.0	143.0	0.0972	0.0414	3.76	5.43	1.63
ERR1958248	0.0779	0.00274	155.1	0.972	0.800	43.0	54.9	20006.0	149.0	0.0933	0.0276	4.01	5.78	1.74
ERR1958249	0.119	0.0023	144.3	0.963	0.772	33.9	46.1	20009.0	143.0	0.0903	0.0369	3.83	5.53	1.66
ERR1958250	0.107	0.0021	137.2	0.960	0.760	30.8	42.0	20007.0	137.0	0.0725	0.0401	3.74	5.39	1.62
ERR1958251	0.166	0.00178	128.2	0.946	0.736	24.5	35.6	20002.0	128.0	0.0388	0.0537	3.57	5.15	1.55
ERR1958252	0.0776	0.0024	156.1	0.967	0.773	36.3	48.0	20005.0	150.0	0.0927	0.0332	3.87	5.58	1.68
ERR1958253	0.158	0.00175	144.8	0.947	0.719	24.5	35.0	20013.0	141.0	0.155	0.0526	3.56	5.13	1.54
ERR1958254	0.0816	0.00248	144.9	0.968	0.785	37.4	49.5	19991.0	144.0	0.0552	0.0324	3.90	5.63	1.69
ERR1958255	0.117	0.00195	163.1	0.955	0.721	27.8	38.9	20000.0	160.0	0.155	0.0446	3.66	5.28	1.59
ERR1958256	0.0957	0.00236	158.6	0.965	0.763	35.3	47.1	20000.0	156.0	0.159	0.0347	3.85	5.56	1.67
ERR1958257	0.131	0.00147	139.9	0.939	0.688	20.3	29.4	19999.0	136.0	0.102	0.0606	3.38	4.88	1.47
ERR1958258	0.128	0.00179	158.0	0.950	0.709	25.1	35.8	19996.0	156.0	0.140	0.0499	3.58	5.16	1.55
ERR1958259	0.0958	0.00206	162.8	0.958	0.732	29.3	41.2	20008.0	161.0	0.142	0.0421	3.72	5.36	1.61
ERR1958260	0.106	0.00236	155.5	0.965	0.766	35.1	47.3	20004.0	154.0	0.123	0.0354	3.86	5.56	1.67
ERR1958261	0.116	0.00252	148.0	0.965	0.786	36.6	50.3	19972.0	146.0	0.0816	0.0349	3.92	5.65	1.70
ERR1958262	0.0922	0.00199	199.6	0.957	0.730	28.6	39.8	20004.0	156.0	0.178	0.043	3.68	5.32	1.60
ERR1958263	0.115	0.00204	168.8	0.955	0.735	28.4	40.8	20013.0	155.0	0.135	0.0447	3.71	5.35	1.61
ERR1958264	0.0968	0.00273	171.3	0.969	0.783	40.5	54.7	20011.0	166.0	0.156	0.0309	4.00	5.77	1.74
ERR1958265	0.0707	0.00265	161.5	0.971	0.785	41.3	52.9	20003.0	157.0	0.133	0.0287	3.97	5.73	1.72
ERR1958266	0.107	0.00195	146.5	0.957	0.737	28.6	39.0	20005.0	144.0	0.138	0.043	3.66	5.29	1.59
ERR1958267	0.0913	0.00226	148.7	0.964	0.765	33.7	45.2	20001.0	146.0	0.0952	0.0362	3.81	5.50	1.65
ERR1958268	0.0895	0.00236	142.7	0.966	0.778	35.8	47.2	19996.0	142.0	0.049	0.0337	3.85	5.56	1.67
ERR1958269	0.0922	0.00267	160.7	0.968	0.786	39.5	53.3	20006.0	158.0	0.0881	0.0316	3.98	5.74	1.73
ERR1958270	0.087	0.00248	158.2	0.967	0.772	36.8	49.5	20008.0	157.0	0.108	0.0332	3.90	5.63	1.69
ERR1958271	0.103	0.00216	164.5	0.962	0.749	32.0	43.2	20006.0	152.0	0.131	0.0379	3.76	5.43	1.64
ERR1958273	0.0855	0.00203	136.7	0.959	0.755	29.9	40.7	19994.0	135.0	0.0809	0.0406	3.71	5.35	1.61
ERR1958274	0.0783	0.00238	154.6	0.966	0.770	35.7	47.6	19998.0	151.0	0.105	0.0338	3.86	5.57	1.68
ERR1958275	0.0667	0.00253	218.5	0.970	0.775	38.8	50.5	20002.0	158.0	0.138	0.0305	3.92	5.66	1.70
ERR1958276	0.0947	0.00235	147.9	0.964	0.772	34.3	47.1	19999.0	147.0	0.0811	0.0364	3.85	5.56	1.67
ERR1958277	0.0819	0.00225	164.0	0.965	0.763	34.3	44.9	19982.0	146.0	0.122	0.0346	3.80	5.49	1.65
ERR1958278	0.179	0.00177	175.1	0.941	0.703	23.0	35.4	20007.0	160.0	0.205	0.0589	3.57	5.15	1.55
ERR1958279	0.113	0.00203	152.4	0.956	0.740	28.6	40.6	19995.0	149.0	0.140	0.0444	3.70	5.34	1.61
ERR1958280	0.133	0.00187	148.9	0.950	0.727	25.6	37.3	19999.0	145.0	0.0959	0.0504	3.62	5.22	1.57
ERR1958281	0.0799	0.00246	179.5	0.967	0.753	36.8	49.2	19974.0	177.0	0.202	0.0329	3.90	5.62	1.69
ERR1958282	0.0483	0.0028	130.0	0.975	0.830	46.1	56.0	19994.0	128.0	0.031	0.0246	4.03	5.81	1.75
ERR1958283	0.108	0.00205	140.5	0.957	0.753	29.2	41.0	20004.0	139.0	0.1	0.0433	3.71	5.36	1.61
ERR1958284	0.116	0.00227	127.1	0.965	0.789	35.0	45.3	19990.0	126.0	0.0945	0.035	3.81	5.50	1.66
ERR1958285	0.0706	0.00217	135.5	0.965	0.774	33.7	43.5	19998.0	131.0	0.0909	0.0349	3.77	5.44	1.64
ERR1958286	0.116	0.00198	138.0	0.956	0.746	28.1	39.6	19987.0	138.0	0.0719	0.0442	3.68	5.31	1.60
ERR1958287	0.153	0.00212	129.0	0.955	0.771	29.5	42.5	20004.0	129.0	0	0.0452	3.75	5.41	1.63
ERR1958288	0.0887	0.00247	175.3	0.968	0.767	37.7	49.4	20011.0	162.0	0.190	0.0319	3.90	5.63	1.69
ERR1958289	0.0903	0.00219	162.0	0.964	0.751	33.2	43.9	20007.0	154.0	0.155	0.0361	3.78	5.46	1.64
ERR1958290	0.108	0.00225	153.4	0.963	0.756	33.1	44.9	20003.0	153.0	0.0974	0.0371	3.80	5.49	1.65
ERR1958291	0.0978	0.00194	160.6	0.955	0.730	27.5	38.8	20004.0	150.0	0.152	0.045	3.66	5.28	1.59
ERR1958292	0.102	0.00188	154.4	0.958	0.727	28.2	37.6	20002.0	147.0	0.182	0.0425	3.63	5.23	1.58
ERR1958293	0.195	0.00156	143.2	0.934	0.694	20.3	31.1	20004.0	142.0	0.119	0.0662	3.44	4.96	1.49
ERR1958294	0.0599	0.00279	157.5	0.973	0.797	43.6	55.8	19998.0	155.0	0.115	0.0271	4.02	5.80	1.75
ERR1958295	0.0769	0.00265	148.6	0.970	0.795	40.5	53.0	20012.0	148.0	0.0738	0.0297	3.97	5.73	1.72
ERR1958296	0.127	0.00209	150.3	0.959	0.748	30.7	41.8	20008.0	147.0	0.155	0.0409	3.73	5.39	1.62
ERR1958297	0.105	0.00209	142.0	0.960	0.755	30.7	41.8	20003.0	140.0	0.0709	0.0401	3.73	5.38	1.62
ERR1958298	0.0899	0.00236	153.2	0.966	0.767	35.4	47.2	20001.0	152.0	0.0915	0.0343	3.85	5.56	1.67
ERR1958299	0.0621	0.00278	157.0	0.973	0.797	43.4	55.6	19992.0	155.0	0.103	0.0271	4.02	5.80	1.74
ERR1958300	0.0692	0.00249	138.5	0.970	0.795	39.0	49.7	19987.0	136.0	0.0657	0.0302	3.91	5.64	1.70
ERR1958301	0.106	0.00273	223.5	0.970	0.785	41.3	54.6	20005.0	163.0	0.134	0.0301	4.00	5.77	1.74
ERR1958302	0.0871	0.00224	136.1	0.966	0.775	34.8	44.8	20001.0	135.0	0.0882	0.0339	3.80	5.48	1.65
ERR1958303	0.113	0.00172	130.3	0.951	0.729	25.0	34.3	20005.0	128.0	0.116	0.0487	3.54	5.10	1.54
ERR1958304	0.0824	0.0022	151.6	0.964	0.757	33.4	44.0	19993.0	148.0	0.161	0.036	3.78	5.46	1.64
ERR1958305	0.0723	0.00213	136.4	0.965	0.764	33.0	42.6	20004.0	136.0	0.0803	0.0355	3.75	5.41	1.63
ERR1958306	0.0549	0.00259	156.4	0.973	0.784	42.5	51.7	20010.0	153.0	0.169	0.0266	3.95	5.69	1.71
ERR1958307	0.103	0.00215	158.0	0.963	0.762	32.9	43.1	19999.0	140.0	0.128	0.0365	3.76	5.43	1.63
ERR1958308	0.124	0.00188	145.8	0.954	0.738	27.2	37.7	20006.0	137.0	0.152	0.0464	3.63	5.24	1.58
ERR1958309	0.136	0.00191	134.6	0.954	0.750	27.6	38.2	19999.0	129.0	0.0769	0.0458	3.64	5.26	1.58
ERR1958310	0.0804	0.00211	136.0	0.963	0.761	32.3	42.1	19996.0	136.0	0.0949	0.0366	3.74	5.40	1.62
ERR1958311	0.100	0.00247	151.5	0.968	0.783	37.6	49.4	20002.0	145.0	0.123	0.0324	3.90	5.63	1.69
ERR1958312	0.0547	0.00268	165.9	0.974	0.789	43.8	53.6	20015.0	155.0	0.179	0.026	3.98	5.74	1.73
ERR1958313	0.0934	0.00223	169.0	0.965	0.757	34.3	44.7	20007.0	151.0	0.197	0.0348	3.80	5.48	1.65
ERR1958314	0.09	0.00225	156.1	0.965	0.760	34.4	45.1	20007.0	150.0	0.185	0.0353	3.81	5.50	1.65
ERR1958315	0.115	0.00169	128.7	0.950	0.728	24.7	33.8	20008.0	126.0	0.110	0.0498	3.52	5.08	1.53
ERR1958316	0.0693	0.00229	175.1	0.968	0.775	35.9	45.8	20008.0	139.0	0.121	0.0325	3.82	5.52	1.66
ERR1958317	0.0666	0.00242	149.7	0.969	0.782	37.8	48.5	20006.0	143.0	0.0764	0.0311	3.88	5.60	1.69
ERR1958318	0.094	0.00256	142.7	0.970	0.796	39.6	51.3	20002.0	141.0	0.0775	0.0304	3.94	5.68	1.71
ERR1958319	0.0814	0.00257	167.4	0.968	0.776	38.7	51.5	20004.0	161.0	0.154	0.0317	3.94	5.69	1.71
ERR1958320	0.084	0.00259	142.5	0.970	0.798	40.0	51.8	20006.0	141.0	0.0845	0.0303	3.95	5.70	1.71
ERR1958321	0.107	0.00143	115.1	0.945	0.709	21.6	28.7	19988.0	114.0	0.157	0.0549	3.36	4.84	1.46
ERR1958322	0.139	0.0019	136.1	0.954	0.742	27.4	38.1	20001.0	135.0	0.118	0.0464	3.64	5.25	1.58
ERR1958323	0.102	0.00219	156.0	0.962	0.753	32.3	43.8	20001.0	151.0	0.125	0.0381	3.78	5.45	1.64
ERR1958324	0.0635	0.00283	154.8	0.974	0.802	45.1	56.5	19997.0	153.0	0.0974	0.0258	4.04	5.82	1.75
ERR1958325	0.106	0.00283	165.1	0.971	0.800	42.8	56.6	19993.0	155.0	0.115	0.0292	4.04	5.82	1.75
ERR1958326	0.093	0.00258	157.6	0.968	0.782	38.7	51.6	19999.0	155.0	0.147	0.032	3.94	5.69	1.71
ERR1958327	0.133	0.00195	168.0	0.953	0.731	27.2	39.1	20011.0	150.0	0.119	0.0469	3.67	5.29	1.59
ERR1958328	0.101	0.0025	156.7	0.967	0.776	37.4	50.1	20009.0	155.0	0.128	0.033	3.91	5.65	1.70
ERR1958329	0.0637	0.00268	200.1	0.971	0.790	41.4	53.6	20007.0	155.0	0.122	0.0286	3.98	5.74	1.73
ERR1958330	0.0927	0.00237	149.5	0.966	0.776	36.0	47.4	19995.0	145.0	0.103	0.0337	3.86	5.57	1.68
ERR1958331	0.0722	0.00244	161.7	0.969	0.765	37.6	48.7	20000.0	161.0	0.123	0.0313	3.89	5.61	1.69
ERR1958332	0.0774	0.00248	158.0	0.969	0.774	38.6	49.7	20014.0	155.0	0.173	0.0308	3.91	5.63	1.70
ERR1958333	0.115	0.0021	200.1	0.959	0.751	30.2	41.9	19999.0	145.0	0.144	0.0412	3.74	5.39	1.62
ERR1958334	0.110	0.00207	141.1	0.960	0.752	30.3	41.3	19996.0	141.0	0.0352	0.0404	3.72	5.37	1.62
ERR1958335	0.0934	0.00214	144.4	0.961	0.758	31.5	42.7	20006.0	142.0	0.0769	0.0387	3.75	5.42	1.63
ERR1958336	0.139	0.00197	539.0	0.952	0.736	27.2	39.4	20002.0	147.0	0.189	0.0479	3.67	5.30	1.60
ERR1958337	0.134	0.0022	161.4	0.954	0.749	29.5	44.0	20022.0	156.0	0.146	0.0456	3.78	5.46	1.64
ERR1958338	0.113	0.002	132.9	0.957	0.757	29.2	39.9	19990.0	130.0	0.0916	0.0428	3.69	5.32	1.60
ERR1958339	0.0975	0.00185	143.5	0.952	0.727	25.8	36.9	20002.0	143.0	0.0694	0.048	3.61	5.21	1.57
ERR1958340	0.0684	0.00261	146.1	0.972	0.811	41.4	52.2	20001.0	131.0	0.0833	0.0283	3.95	5.71	1.72
ERR1958341	0.0727	0.00257	242.0	0.971	0.793	40.4	51.5	20002.0	144.0	0.193	0.0292	3.94	5.69	1.71
ERR1958342	0.175	0.00192	133.9	0.949	0.749	26.3	38.4	19995.0	130.0	0.107	0.0515	3.65	5.26	1.58
ERR1958343	0.137	0.00156	124.2	0.943	0.714	22.1	31.2	19993.0	124.0	0.056	0.0565	3.44	4.96	1.49
ERR1958344	0.0813	0.00211	139.0	0.963	0.761	32.3	42.3	20006.0	137.0	0.101	0.037	3.74	5.40	1.63
ERR1958345	0.0775	0.0025	134.9	0.968	0.798	38.1	49.9	19991.0	134.0	0.0593	0.0316	3.91	5.64	1.70
ERR1958346	0.121	0.00225	154.9	0.960	0.766	31.7	44.9	20002.0	144.0	0.0966	0.0404	3.80	5.49	1.65
ERR1958347	0.0897	0.00256	172.5	0.968	0.779	38.6	51.2	20000.0	156.0	0.146	0.0318	3.94	5.68	1.71
ERR1958348	0.0918	0.00243	159.4	0.965	0.766	35.6	48.6	20006.0	159.0	0.1	0.0349	3.88	5.60	1.69
ERR1958349	0.132	0.00185	138.8	0.953	0.733	26.6	37.0	20001.0	138.0	0.0935	0.047	3.61	5.21	1.57
