Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
SRR6824811	0.140	0.000858	23.0	0.925	0.907	15.0	17.2	20003.0	23.0	0	0.0748	2.84	4.10	1.23
SRR6824813	0.340	0.000614	31.0	0.847	0.730	8.48	12.3	20000.0	31.0	0	0.153	2.51	3.62	1.09
SRR6824814	0.328	0.000487	15.0	0.848	0.841	7.89	9.75	20004.0	15.0	0	0.152	2.28	3.29	0.989
SRR6824815	0.977	5.86e-05	15.0	0.0444	0.0583	1.07	1.17	19998.0	15.0	0	0.956	0.158	0.228	0.0686
SRR6824816	0.262	0.000484	21.0	0.845	0.746	7.56	9.69	20001.0	21.0	0	0.155	2.27	3.28	0.986
SRR6824817	0.277	0.000816	33.0	0.890	0.799	11.8	16.3	20002.0	33.0	0	0.110	2.79	4.03	1.21
SRR6824818	0.634	0.000264	30.0	0.586	0.489	3.11	5.28	20005.0	30.0	0	0.414	1.66	2.40	0.723
SRR6824819	0.283	0.000477	15.0	0.854	0.833	7.89	9.55	20002.0	15.0	0	0.146	2.26	3.25	0.980
SRR6824820	0.310	0.000285	8.00	0.785	0.836	5.05	5.69	20000.0	8.00	0	0.215	1.74	2.51	0.755
SRR6824821	0.155	0.00364	203.0	0.963	0.807	42.5	72.7	19965.0	203.0	0	0.0366	4.29	6.18	1.86
SRR6824822	0.495	0.000903	140.0	0.749	0.586	6.39	18.1	20036.0	140.0	0	0.251	2.90	4.18	1.26
SRR6824823	0.183	0.000839	30.0	0.910	0.829	13.2	16.8	20004.0	30.0	0	0.09	2.82	4.07	1.22
SRR6824824	0.432	0.000329	12.0	0.763	0.758	5.08	6.57	20004.0	12.0	0	0.237	1.88	2.72	0.818
SRR6824825	0.838	9.11e-05	18.0	0.281	0.208	1.50	1.82	20004.0	18.0	0	0.719	0.600	0.866	0.261
SRR6824826	0.752	0.000155	24.0	0.424	0.356	2.06	3.10	19998.0	24.0	0	0.576	1.13	1.63	0.491
SRR6824827	0.842	0.000108	23.0	0.286	0.247	1.57	2.17	20003.0	23.0	0	0.714	0.774	1.12	0.336
SRR6824828	0.611	0.000136	9.00	0.554	0.454	2.42	2.71	20000.0	9.00	0	0.446	0.998	1.44	0.433
SRR6824829	0.845	0.000127	61.0	0.284	0.227	1.60	2.55	20004.0	61.0	0	0.716	0.935	1.35	0.406
SRR6824830	0.928	6.87e-05	10.00	0.135	0.138	1.21	1.37	20001.0	10.00	0	0.865	0.318	0.458	0.138
SRR6824831	0.507	0.000732	165.0	0.732	0.526	5.64	14.6	19997.0	165.0	0	0.268	2.68	3.87	1.17
SRR6824832	0.958	5.95e-05	2.00	0.0798	0.250	1.12	1.19	20000.0	2.00	0	0.920	0.173	0.250	0.0752
SRR6824833	0.957	6.23e-05	6.00	0.0826	0.123	1.13	1.25	20000.0	6.00	0	0.917	0.220	0.318	0.0957
SRR6824834	0.920	6.98e-05	3.00	0.150	0.304	1.24	1.40	20000.0	3.00	0	0.850	0.334	0.482	0.145
SRR6824835	0.998	5.08e-05	2.00	0.00429	0.0222	1.01	1.02	20000.0	2.00	0	0.996	0.0154	0.0222	0.00667
SRR6824836	0.600	0.000196	7.00	0.610	0.702	3.05	3.92	20000.0	7.00	0	0.390	1.37	1.97	0.593
SRR6824837	0.929	7.26e-05	18.0	0.134	0.129	1.22	1.45	20004.0	18.0	0	0.866	0.374	0.539	0.162
SRR6824838	0.895	7.89e-05	5.00	0.194	0.283	1.33	1.58	20001.0	5.00	0	0.806	0.456	0.657	0.198
SRR6824839	0.955	6.09e-05	3.00	0.0865	0.180	1.13	1.22	20000.0	3.00	0	0.914	0.198	0.285	0.0858
SRR6824840	0.939	6.66e-05	4.00	0.117	0.207	1.18	1.33	19999.0	4.00	0	0.883	0.287	0.413	0.124
SRR6824841	0.980	5.58e-05	3.00	0.0398	0.0993	1.06	1.12	20000.0	3.00	0	0.960	0.109	0.157	0.0474
SRR6824842	0.502	0.0001	2.00	0.500	1.000	2.00	2.00	20000.0	2.00	0	0.500	0.693	1.000	0.301
SRR6824845	0.991	5.28e-05	3.00	0.0175	0.0499	1.03	1.06	20000.0	3.00	0	0.983	0.0548	0.0791	0.0238
SRR6824846	0.920	7.42e-05	9.00	0.151	0.180	1.25	1.48	19999.0	9.00	0	0.849	0.395	0.569	0.171
SRR6824847	0.957	6.42e-05	12.0	0.0833	0.100	1.13	1.28	20001.0	12.0	0	0.917	0.249	0.360	0.108
SRR6824848	0.545	0.000208	8.00	0.646	0.684	3.29	4.15	19999.0	8.00	0	0.354	1.42	2.05	0.618
SRR6824852	0.575	0.000102	4.00	0.493	0.513	1.99	2.04	20000.0	4.00	0	0.507	0.712	1.03	0.309
SRR6837878	0.0957	0.00243	60.0	0.972	0.948	42.1	48.5	20015.0	60.0	0	0.0278	3.88	5.60	1.69
SRR6837879	0.437	0.000487	20.0	0.787	0.760	6.40	9.74	20004.0	20.0	0	0.213	2.28	3.28	0.988
SRR6837880	0.569	0.000333	19.0	0.664	0.644	4.00	6.65	20003.0	19.0	0	0.336	1.90	2.73	0.823
SRR6837881	0.114	0.00155	41.0	0.957	0.924	26.6	30.9	19994.0	41.0	0	0.0431	3.43	4.95	1.49
SRR6837882	0.190	0.0012	33.0	0.936	0.909	19.4	24.0	20004.0	33.0	0	0.0642	3.18	4.58	1.38
SRR6837883	0.188	0.000597	13.0	0.906	0.967	11.3	11.9	20000.0	13.0	0	0.0938	2.48	3.58	1.08
SRR6837884	0.333	0.000238	5.00	0.778	0.970	4.63	4.76	19999.0	5.00	0	0.222	1.56	2.25	0.678
SRR6837885	0.318	0.000556	15.0	0.864	0.890	9.02	11.1	19999.0	15.0	0	0.136	2.41	3.48	1.05
SRR6837886	0.0715	0.0017	36.0	0.968	0.984	32.8	34.0	19993.0	36.0	0	0.0318	3.53	5.09	1.53
SRR6837887	0.617	0.000237	65.0	0.581	0.373	2.91	4.74	19990.0	65.0	0	0.419	1.56	2.25	0.676
SRR6837888	0.300	0.000461	19.0	0.825	0.755	6.90	9.22	19996.0	19.0	0	0.175	2.22	3.21	0.965
SRR6837889	0.229	0.000303	9.00	0.816	0.820	5.64	6.06	19999.0	9.00	0	0.184	1.80	2.60	0.783
SRR6837890	0.243	0.000609	16.0	0.891	0.902	10.5	12.2	20003.0	16.0	0	0.109	2.50	3.61	1.09
SRR6837891	0.180	0.000721	23.0	0.899	0.851	11.6	14.4	20000.0	23.0	0	0.101	2.67	3.85	1.16
SRR6837892	0.253	0.000831	180.0	0.855	0.541	9.05	16.6	19972.0	180.0	0	0.145	2.81	4.05	1.22
SRR6837893	0.667	0.000158	6.00	0.531	0.644	2.49	3.17	19999.0	6.00	0	0.469	1.15	1.66	0.501
SRR6837894	0.0694	0.00471	279.0	0.978	0.807	61.4	94.2	19996.0	279.0	0	0.0217	4.55	6.56	1.97
SRR6837895	0.476	0.000534	121.0	0.747	0.494	5.45	10.7	19997.0	121.0	0	0.253	2.37	3.42	1.03
SRR6837896	0.662	0.000164	76.0	0.514	0.274	2.35	3.27	19991.0	76.0	0	0.486	1.18	1.71	0.514
SRR7229827	0.110	0.00271	353.3	0.959	0.681	32.5	54.1	19952.0	351.0	0.193	0.0414	3.99	5.76	1.73
SRR7229828	0.270	0.000964	578.3	0.858	0.466	9.42	19.4	20099.0	577.0	0.394	0.142	2.96	4.28	1.29
SRR7229829	0.369	0.000368	294.5	0.766	0.358	4.99	7.37	20047.0	265.0	0.635	0.234	2.00	2.88	0.868
SRR7229830	0.302	0.000518	217.3	0.826	0.444	7.00	10.4	20055.0	196.0	0.563	0.174	2.34	3.38	1.02
SRR7229831	0.276	0.00081	274.5	0.854	0.497	9.04	16.2	20048.0	272.0	0.388	0.146	2.79	4.02	1.21
