Run Accession	Binomial name	Diet	Class	Climatic region	NMDS1	NMDS2
CRR280733	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000267253	1.34E-06
CRR280734	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000270786	5.05E-06
CRR280735	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000259895	-2.29E-06
CRR280736	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000278458	1.59E-05
CRR280737	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000260821	3.61E-06
CRR280738	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000276244	1.02E-05
CRR280739	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000264589	-3.99E-06
CRR280740	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000263798	4.02E-06
CRR280741	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000266276	-4.43E-09
CRR280742	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000282348	1.54E-05
CRR280743	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000272347	5.10E-06
CRR280744	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000262045	-4.20E-05
CRR280745	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000269335	1.77E-06
CRR280746	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000279022	1.54E-05
CRR280747	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000273427	1.65E-05
CRR280748	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000280799	1.73E-05
CRR280749	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000268022	-1.50E-07
CRR280750	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000288537	1.52E-05
CRR280751	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000277318	6.45E-06
CRR280752	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000275623	9.26E-06
CRR280753	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000275429	9.23E-06
CRR280754	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000265465	3.01E-06
CRR280755	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000261271	1.08E-05
CRR280756	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000276521	1.13E-05
CRR280757	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000263114	2.00E-06
CRR280758	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000268447	4.96E-06
CRR280759	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000267485	9.00E-06
CRR280760	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000272246	1.17E-05
CRR280761	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000264626	8.68E-07
CRR280762	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000271817	8.49E-06
CRR280763	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000267009	3.39E-06
CRR280764	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000257349	-5.14E-06
CRR280765	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000291275	3.09E-05
CRR280766	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000296517	2.77E-05
CRR280767	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000263883	1.18E-05
CRR280768	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000249925	7.07E-06
CRR280769	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000294313	2.36E-05
CRR280770	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000285812	1.15E-05
CRR280771	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000274148	7.98E-06
CRR280772	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000261622	4.85E-06
CRR280773	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000293912	1.93E-05
CRR280774	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000287981	2.12E-05
CRR280775	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000272275	6.94E-06
CRR280776	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.0002866	1.43E-05
CRR280777	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000290816	2.51E-05
CRR280778	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000264076	1.54E-06
CRR280779	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000275292	7.43E-06
CRR280780	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000265293	4.79E-06
CRR280781	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000275328	1.11E-05
ERR1958188	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00042741	4.17E-05
ERR1958189	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000408376	4.91E-05
ERR1958190	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000448128	7.18E-05
ERR1958191	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000612164	8.94E-05
ERR1958192	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000460268	6.65E-05
ERR1958193	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000354541	-3.68E-05
ERR1958194	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000531977	0.000112783
ERR1958195	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000450974	6.70E-05
ERR1958196	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000448055	4.46E-05
ERR1958197	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000477792	7.42E-05
ERR1958198	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000419804	3.69E-05
ERR1958199	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000462154	4.72E-05
ERR1958200	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000363047	-5.22E-05
ERR1958201	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000381516	3.91E-06
ERR1958202	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000432196	8.40E-05
ERR1958203	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000387434	9.02E-06
ERR1958204	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000392424	9.19E-06
ERR1958205	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000362837	-4.92E-05
ERR1958206	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000419459	9.57E-06
ERR1958207	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000404183	9.45E-06
ERR1958208	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000501205	9.08E-05
ERR1958209	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000414763	2.70E-05
ERR1958210	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000491928	7.97E-05
ERR1958211	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000496198	4.67E-05
ERR1958212	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000390226	1.47E-05
ERR1958213	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000369607	1.46E-05
ERR1958214	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000413611	7.00E-05
ERR1958215	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000522099	9.76E-05
ERR1958216	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000447012	6.72E-05
ERR1958217	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000393601	3.17E-05
ERR1958218	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000489158	9.76E-05
ERR1958219	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000413475	6.69E-06
ERR1958220	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000443819	4.25E-05
ERR1958221	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000534439	0.000110141
ERR1958222	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000382802	-8.07E-06
ERR1958223	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000366168	-5.28E-05
ERR1958224	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000400694	5.93E-05
ERR1958225	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000379554	-2.31E-06
ERR1958226	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000373157	1.25E-05
ERR1958227	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000478536	0.00010406
ERR1958228	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000433968	8.76E-05
ERR1958229	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00039145	5.94E-05
ERR1958230	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000339918	-6.82E-05
ERR1958231	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00045594	0.000100645
ERR1958232	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000398653	4.17E-05
ERR1958233	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000451002	7.73E-05
ERR1958234	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000476988	8.02E-05
ERR1958235	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000429575	4.68E-05
ERR1958236	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000480889	7.17E-05
ERR1958237	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000495462	0.000117263
ERR1958238	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000417332	4.10E-05
ERR1958239	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00054427	0.000102977
ERR1958240	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000454681	7.30E-05
ERR1958241	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000460824	4.48E-05
ERR1958242	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000480532	0.00011403
ERR1958243	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000459096	9.97E-05
ERR1958244	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000458494	8.66E-05
ERR1958245	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000489875	6.93E-05
ERR1958246	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000461175	7.56E-05
ERR1958247	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000439616	6.87E-05
ERR1958248	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000318578	-8.85E-05
ERR1958249	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000444891	7.22E-05
ERR1958250	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000428843	3.08E-06
ERR1958251	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000520324	8.07E-05
ERR1958252	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000440244	6.41E-05
ERR1958253	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000488281	5.49E-05
ERR1958254	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000431701	7.29E-05
ERR1958255	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000481912	3.95E-05
ERR1958256	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000391202	1.22E-05
ERR1958257	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000461927	3.93E-05
ERR1958258	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00046226	6.54E-05
ERR1958259	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000344803	-5.40E-05
ERR1958260	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000396308	1.24E-05
ERR1958261	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000487115	9.78E-05
ERR1958262	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000441151	6.23E-05
ERR1958263	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000387647	3.85E-05
ERR1958264	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000339666	-5.19E-05
ERR1958265	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.0004977	0.000105089
ERR1958266	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000482722	7.26E-05
ERR1958267	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00045329	0.000116387
ERR1958268	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00042516	8.12E-05
ERR1958269	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000403039	1.02E-05
ERR1958270	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000394434	4.16E-05
ERR1958271	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000479414	0.000115278
ERR1958273	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000545958	0.000104178
ERR1958274	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000410167	5.15E-05
ERR1958275	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000376672	8.68E-06
ERR1958276	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000451673	0.000109744
ERR1958277	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000476514	7.27E-05
ERR1958278	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000520258	9.08E-05
ERR1958279	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.0004204	8.40E-05
ERR1958280	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000433616	4.02E-05
ERR1958281	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000358415	8.23E-06
ERR1958282	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000352692	-5.97E-05
ERR1958283	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000435539	0.000116489
ERR1958284	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000477185	0.000101719
ERR1958285	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000443434	8.11E-05
ERR1958286	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000465047	6.61E-05
ERR1958287	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000443995	8.60E-05
ERR1958288	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000358182	-4.98E-05
ERR1958289	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000448344	0.000102633
ERR1958290	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000420198	5.30E-05
ERR1958291	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000390881	7.94E-05
ERR1958292	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000431036	8.68E-05
ERR1958293	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000396732	6.57E-05
ERR1958294	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00036096	-3.51E-05
ERR1958295	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00039678	1.10E-05
ERR1958296	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000517286	9.01E-05
ERR1958297	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000455254	7.99E-05
ERR1958298	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000424603	7.11E-05
ERR1958299	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000361923	-3.01E-08
ERR1958300	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000385517	1.90E-05
ERR1958301	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000415098	8.33E-05
ERR1958302	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000420266	6.73E-05
ERR1958303	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000483728	6.14E-05
ERR1958304	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000487725	6.72E-05
ERR1958305	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000482318	8.01E-05
ERR1958306	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000401646	6.21E-06
ERR1958307	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00047537	2.73E-05
ERR1958308	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000528155	5.50E-05
ERR1958309	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000515529	7.15E-05
ERR1958310	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000504589	6.56E-05
ERR1958311	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000470838	6.05E-05
ERR1958312	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000392555	2.14E-05
ERR1958313	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000478501	0.000117899
ERR1958314	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000453138	8.00E-05
ERR1958315	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000545038	0.000104504
ERR1958316	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000480547	7.45E-05
ERR1958317	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000416178	4.66E-05
ERR1958318	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000400724	6.39E-06
ERR1958319	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000418102	6.29E-06
ERR1958320	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000442618	4.84E-05
ERR1958321	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000561598	0.000104324
ERR1958322	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000486655	3.56E-05
ERR1958323	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000453661	6.31E-05
ERR1958324	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00043927	7.75E-05
ERR1958325	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000409019	8.32E-05
ERR1958326	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000382038	2.34E-05
ERR1958327	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000404945	4.10E-05
ERR1958328	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000409663	4.56E-05
ERR1958329	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00040258	4.88E-05
ERR1958330	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000446532	8.91E-05
ERR1958331	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000381022	2.99E-05
ERR1958332	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000408329	5.42E-05
ERR1958333	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000423424	8.12E-05
ERR1958334	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000384854	1.58E-05
ERR1958335	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000416887	5.64E-05
ERR1958336	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000382514	1.48E-05
ERR1958337	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000378053	1.01E-05
ERR1958338	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000501717	5.96E-05
ERR1958339	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000410929	4.00E-05
ERR1958340	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00048342	0.000117744
ERR1958341	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000448629	6.55E-05
ERR1958342	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000393564	3.47E-05
ERR1958343	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000547699	6.99E-05
ERR1958344	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000405053	1.36E-05
ERR1958345	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00034957	-5.19E-05
ERR1958346	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000338901	-7.41E-05
ERR1958347	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000407113	4.54E-05
ERR1958348	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000453598	0.00010501
ERR1958349	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000440159	8.17E-05
ERR1958350	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000430118	8.88E-05
ERR1958351	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000411355	4.63E-05
ERR1958352	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000449821	8.42E-05
ERR1958353	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000482219	6.48E-05
ERR1958354	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000537007	6.69E-05
ERR1958355	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000405794	1.04E-05
ERR1958356	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00043994	5.49E-05
ERR1958357	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000475922	8.35E-05
ERR1958358	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000368618	-4.40E-05
ERR1958359	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000401016	5.12E-05
ERR1958360	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000515866	4.51E-05
ERR1958361	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000438565	7.87E-05
ERR1958362	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000412579	4.43E-05
ERR1958363	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000521354	0.000105379
ERR1958364	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000415656	7.44E-05
ERR1958365	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000462507	4.46E-05
ERR1958366	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000455477	1.69E-06
ERR1958367	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000393081	1.69E-05
ERR1958368	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000376031	1.65E-05
ERR1958369	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000411281	1.98E-05
ERR1958370	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000530076	9.95E-05
ERR1958371	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000444082	8.38E-06
ERR1958372	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000508155	7.55E-05
ERR1958373	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000488511	4.63E-05
ERR1958374	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000419976	1.81E-05
ERR2188117	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.00028435	2.89E-05
ERR2188118	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000260592	1.49E-05
ERR2188119	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000258277	1.89E-05
ERR2188120	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000277344	3.30E-05
ERR2188121	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000272832	1.95E-05
ERR2188122	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000271506	1.55E-05
ERR2188123	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000266416	1.72E-05
ERR2188124	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000263184	2.26E-05
ERR2188125	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000261122	1.97E-05
ERR2188126	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000260682	1.62E-05
ERR2188127	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000261183	1.88E-05
ERR2188128	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000272016	1.90E-05
ERR2188129	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000267363	2.79E-05
ERR2188130	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000261952	2.02E-05
ERR2188131	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000270435	2.29E-05
ERR2188132	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000263876	2.44E-05
ERR2188133	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000262768	8.38E-06
ERR2188134	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000270205	2.61E-05
ERR2188135	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000275559	1.10E-05
ERR2188136	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.00026131	2.00E-05
ERR2188137	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000257039	1.50E-05
ERR2188138	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000265581	2.81E-05
ERR2188139	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000272729	1.64E-05
ERR2188140	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.00026083	2.39E-05
ERR2188141	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000268143	1.73E-05
ERR2188142	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000258542	1.13E-05
ERR2188143	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000276993	2.76E-05
ERR2188144	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000258527	1.75E-05
ERR2188145	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000268797	3.09E-05
ERR2188146	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000256841	1.46E-05
ERR2188147	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000261518	5.78E-06
ERR2188148	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.0002852	2.20E-05
ERR2188149	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000269824	2.53E-05
ERR2188150	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.00025755	2.18E-05
ERR2188151	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000279078	2.86E-05
ERR2188152	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000272885	2.99E-05
ERR2188153	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000272779	1.92E-05
ERR2188154	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000280342	2.20E-05
ERR2188155	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000268251	2.39E-05
ERR2188156	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000273635	2.19E-05
ERR2188157	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000259559	1.75E-05
ERR2188158	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000268858	1.56E-05
ERR2188159	Cercopithecus diana	Omnivorous	Mammalia	Tropical	0.000287347	3.43E-05
ERR2188160	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000272202	2.38E-05
ERR2188161	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000270067	2.52E-05
ERR2188162	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000278422	2.36E-05
ERR2188163	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000258414	1.68E-05
ERR2188164	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000271467	2.54E-05
ERR2188165	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000265356	9.78E-06
ERR2188166	Cercocebus atys	Omnivorous	Mammalia	Tropical	0.000266406	2.35E-05
